Id;Tipo Muert.;Provincia;Canton;Area del Hecho;Lugar;Tipo Lugar;Fecha InfracciÛn;Hora Infraccion;Arma;Tipo Arma;Probable Causa M.;Edad;Sexo;Etnia;Estado Civil;Nacionalidad;Anos;Mes
2602;ASESINATO;GUAYAS;NARANJAL;RURAL;INTERIOR DE VEHICULO PARTICULAR;PRIVADO;16/5/23;23:30;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;28;MUJER;MESTIZO/A;CASADO;ECUADOR;2023;mayo
2603;ASESINATO;GUAYAS;NARANJAL;RURAL;INTERIOR DE VEHICULO PARTICULAR;PRIVADO;16/5/23;23:30;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;31;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;mayo
2604;ASESINATO;GUAYAS;GUAYAQUIL;URBANO;CASA/VILLA;PRIVADO;16/5/23;16:15;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;34;HOMBRE;MESTIZO/A;CASADO;ECUADOR;2023;mayo
2605;ASESINATO;GUAYAS;GUAYAQUIL;URBANO;VIA PUBLICA;PUBLICO;16/5/23;17:50;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;30;HOMBRE;MESTIZO/A;CASADO;ECUADOR;2023;mayo
2606;ASESINATO;GUAYAS;GUAYAQUIL;URBANO;VIA PUBLICA;PUBLICO;16/5/23;17:50;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;35;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;mayo
2607;ASESINATO;ORELLANA;LA JOYA DE LOS SACHAS;URBANO;BARES;PRIVADO;16/5/23;21:30;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;29;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;mayo
2608;ASESINATO;ORELLANA;LA JOYA DE LOS SACHAS;URBANO;BARES;PRIVADO;16/5/23;21:30;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;18;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;mayo
2609;HOMICIDIO;ORELLANA;PUERTO FRANCISCO DE ORELLANA;RURAL;VIA PUBLICA;PUBLICO;17/5/23;05:40;ARMA BLANCA;OTRO;HERIDA POR ARMA BLANCA;25;MUJER;MESTIZO/A;NO DETERMINADO;NO DETERMINADO;2023;mayo
2610;ASESINATO;GUAYAS;GUAYAQUIL;URBANO;VIA PUBLICA;PUBLICO;17/5/23;15:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;0;HOMBRE;MESTIZO/A;NO DETERMINADO;NO DETERMINADO;2023;mayo
2611;ASESINATO;MANABI;SAN VICENTE;RURAL;VIA PUBLICA;PUBLICO;17/5/23;16:30;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;29;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;mayo
